station_train_code,from_station_name,to_station_name,start_time,swz_num,tz_num,zy_num,ze_num,wz_num
G42,上海虹桥,南京南,10:28,7,0,60,91,0
G7136,上海虹桥,南京南,10:30,0,0,18,56,0
G1236,上海虹桥,南京南,10:33,0,12,1,5,0
G7236,上海,南京南,10:40,26,0,99,265,0
G122,上海虹桥,南京南,10:46,0,0,13,257,0
G7044,上海,南京,10:46,0,0,50,530,0
G7386,上海虹桥,南京南,10:54,26,0,147,116,0
G7240,上海,南京南,10:54,13,0,101,186,0
G16,上海虹桥,南京南,11:00,2,0,0,16,0
G7010,上海,南京,11:00,0,18,32,968,0
G7106,上海虹桥,南京,11:05,0,0,46,483,0
G126,上海虹桥,南京南,11:10,0,0,33,107,0
G7572,上海虹桥,南京南,11:10,0,0,0,11,0
G7264,上海,南京南,11:17,0,0,50,101,0
G1252,上海虹桥,南京南,11:20,5,0,4,8,0
G130,上海虹桥,南京南,11:26,5,0,12,12,0
G1228,上海虹桥,南京南,11:31,8,0,9,139,0
G7282,上海,南京南,11:34,0,0,50,59,0
G7108,上海虹桥,南京,11:40,10,0,28,431,0
G1924,上海虹桥,南京南,11:43,1,0,5,264,0
G1956,上海虹桥,南京南,11:59,12,0,34,839,0
G7012,上海,南京,12:00,0,18,29,973,0
G7244,上海,南京南,12:11,0,0,4,0,0
G132,上海虹桥,南京南,12:12,5,0,24,154,0
G7576,上海虹桥,南京南,12:16,0,0,0,2,0
G460,上海虹桥,南京南,12:17,16,0,58,118,0
G7046,上海,南京,12:20,0,0,49,530,0
G412,上海虹桥,南京南,12:23,5,0,7,7,0
G7048,上海,南京,12:25,0,0,50,524,0
G1810,上海虹桥,南京南,12:34,15,0,29,828,0
G7296,上海,南京南,12:40,0,0,9,99,0
G7110,上海虹桥,南京,12:46,10,0,28,462,0
G7088,上海,南京南,12:54,12,0,42,80,0
G1928,上海虹桥,南京南,12:56,11,0,24,785,0
G7014,上海,南京,13:00,0,18,32,971,0
G134,上海虹桥,南京南,13:02,0,0,53,106,0
G7112,上海虹桥,南京,13:10,0,0,50,480,0
G7248,上海,南京南,13:16,10,0,22,123,0
D3026,上海虹桥,南京南,13:30,0,0,0,0,77
G138,上海虹桥,南京南,13:30,0,0,85,95,0
G140,上海虹桥,南京南,13:37,0,0,0,1,0
G1814,上海虹桥,南京南,13:45,1,0,4,297,0
G7092,上海,南京南,13:48,17,0,46,107,0
D3006,上海虹桥,南京南,13:53,0,0,0,81,0
G4,上海虹桥,南京南,14:00,0,0,5,30,0
G7016,上海,南京,14:00,0,18,31,965,0
G226,上海虹桥,南京南,14:05,0,0,92,45,0
G7114,上海虹桥,南京,14:07,4,0,27,355,0
G7276,上海,南京南,14:12,0,0,15,159,0
G142,上海虹桥,南京南,14:16,1,0,55,116,0
G1932,上海虹桥,南京南,14:22,4,0,30,745,0
D3094,上海虹桥,南京南,14:27,0,0,1,1,0
G7050,上海,南京,14:30,0,0,50,524,0
G1818,上海虹桥,南京南,14:40,15,0,10,802,0
D3010,上海虹桥,南京南,14:52,0,0,38,365,0
G214,上海虹桥,南京南,14:54,16,0,62,312,0
G18,上海虹桥,南京南,15:00,0,0,0,87,0
G7018,上海,南京,15:00,0,18,27,961,0
G146,上海虹桥,南京南,15:05,0,0,13,220,0
G7140,上海虹桥,南京南,15:08,13,0,54,77,0
D3032,上海虹桥,南京南,15:16,0,0,0,4,0
G1736,上海虹桥,南京南,15:23,3,0,8,503,0
G148,上海虹桥,南京南,15:31,14,0,6,245,0
G7052,上海,南京,15:39,0,0,49,527,0
G1822,上海虹桥,南京南,15:40,0,0,0,3,0
G7252,上海,南京南,15:44,5,0,18,1,0
D3052,上海虹桥,南京南,15:52,0,0,51,216,96
G20,上海虹桥,南京南,16:00,0,0,0,10,0
G7020,上海,南京,16:00,0,18,32,977,0
G150,上海虹桥,南京南,16:05,6,0,35,254,0
D3014,上海虹桥,南京南,16:07,0,0,4,38,0
G1936,上海虹桥,南京南,16:13,2,0,13,371,0
G7116,上海虹桥,南京,16:14,0,0,20,447,0
G152,上海虹桥,南京南,16:19,0,0,15,333,0
G7054,上海,南京,16:20,0,0,48,525,0
G2812,上海虹桥,南京南,16:24,0,0,3,28,0
G7592,上海虹桥,南京南,16:25,26,0,99,11,0
G234,上海虹桥,南京南,16:33,16,0,99,242,0
G7376,上海虹桥,南京南,16:36,0,0,42,137,0
G216,上海虹桥,南京南,16:38,16,0,85,271,0
D3086,上海虹桥,南京南,16:43,0,0,1,0,0
D3042,上海虹桥,南京南,16:47,0,0,0,0,0
G7272,上海,南京南,16:49,10,0,25,179,0
G7022,上海,南京,17:00,0,18,32,974,0
G22,上海虹桥,南京南,17:00,0,0,4,2,0
